time,Consumed,Exported,HWS,Imported,Produced
2019-03-15 00:00:00,659.165,0.0,32.66,420.06,0.05
2019-03-15 00:01:00,677.4,0.0,32.49,422.075,0.035
2019-03-15 00:02:00,683.93,0.0,32.35,421.925,0.03
2019-03-15 00:03:00,675.415,0.0,28.17,409.2,0.025
2019-03-15 00:04:00,704.335,0.0,30.89,424.84,0.02
2019-03-15 00:05:00,710.175,0.0,31.035,436.91,0.02
2019-03-15 00:06:00,709.44,0.0,31.115,446.45,0.02
2019-03-15 00:07:00,699.205,0.0,31.215,426.13,0.02
2019-03-15 00:08:00,693.82,0.0,31.54,429.085,0.02
2019-03-15 00:09:00,673.37,0.0,34.33,427.85,0.02
2019-03-15 00:10:00,641.435,0.0,25.905,409.505,0.02
2019-03-15 00:11:00,636.265,0.0,25.5,413.52,0.02
2019-03-15 00:12:00,643.96,0.0,25.67,437.035,0.0
2019-03-15 00:13:00,637.5,0.0,21.635,436.735,0.0
2019-03-15 00:14:00,642.7,0.0,21.185,439.42,0.0
2019-03-15 00:15:00,637.075,0.0,21.245,438.23,0.0
2019-03-15 00:16:00,616.67,0.0,21.49,427.24,0.0
2019-03-15 00:17:00,558.065,0.0,24.805,389.075,0.0
2019-03-15 00:18:00,555.525,0.0,19.905,397.255,0.0
2019-03-15 00:19:00,569.49,0.0,20.06,396.905,0.0
2019-03-15 00:20:00,567.195,0.0,20.11,394.795,0.0
2019-03-15 00:21:00,598.56,0.0,20.3,406.06,0.0
2019-03-15 00:22:00,604.64,0.0,18.97,415.325,0.0
2019-03-15 00:23:00,599.9,0.0,16.54,401.66,0.0
2019-03-15 00:24:00,604.19,0.0,16.395,387.66,0.0
2019-03-15 00:25:00,602.44,0.0,16.4,391.735,0.0
2019-03-15 00:26:00,621.505,0.0,16.415,405.485,0.0
2019-03-15 00:27:00,630.465,0.0,16.495,422.155,0.0
2019-03-15 00:28:00,640.95,0.0,16.755,430.315,0.0
2019-03-15 00:29:00,626.085,0.0,16.895,427.93,0.0
2019-03-15 00:30:00,614.75,0.0,16.845,417.51,0.0
2019-03-15 00:31:00,640.125,0.0,16.815,430.48,0.0
2019-03-15 00:32:00,614.455,0.0,17.01,415.45,0.0
2019-03-15 00:33:00,606.285,0.0,17.18,419.48,0.0
2019-03-15 00:34:00,596.12,0.0,17.215,406.54,0.0
2019-03-15 00:35:00,582.34,0.0,17.11,403.145,0.0
2019-03-15 00:36:00,577.825,0.0,17.17,411.67,0.0
2019-03-15 00:37:00,585.24,0.0,17.08,429.03,0.0
2019-03-15 00:38:00,597.095,0.0,17.12,429.875,0.0
2019-03-15 00:39:00,574.35,0.0,17.135,409.075,0.0
2019-03-15 00:40:00,555.78,0.0,17.265,389.255,0.0
2019-03-15 00:41:00,554.085,0.0,17.24,388.85,0.0
2019-03-15 00:42:00,543.515,0.0,17.24,377.65,0.0
2019-03-15 00:43:00,525.15,0.0,19.76,364.195,0.0
2019-03-15 00:44:00,517.975,0.0,20.51,353.385,0.0
2019-03-15 00:45:00,567.82,0.0,19.965,412.485,0.0
2019-03-15 00:46:00,644.84,0.0,19.89,472.615,0.0
2019-03-15 00:47:00,697.815,0.0,20.17,530.79,0.0
2019-03-15 00:48:00,731.925,0.0,20.215,552.41,0.0
